Name	Partei	Beruf
Lenz, Dr. Andreas	CDU/CSU	
Leye, Christian	Die Linke	Ökonom
Licina-Bode, Luiza	SPD	Beamtin
Lieb, Dr. Thorsten	FDP	Rechtsanwalt
Liebert, Anja	Grüne	Verwaltungsangestellte
Limbacher, Esra-Leon	SPD	Jurist
Limburg, Helge	Grüne	Jurist
Lindemann, Lars	FDP	Rechtsanwalt
Lindh, Helge	SPD	Wissenschaftlicher Mitarbeiter
Lindholz, Andrea	CDU/CSU	Rechtsanwältin
Lindner, Christian	FDP	Politikwissenschaftler
Lindner, Dr. Tobias	Grüne	Wirtschaftswissenschaftler
Link, Michael Georg	FDP	Übersetzer
Linnemann, Dr. Carsten	CDU/CSU	Diplom-Volkswirt
Lips, Patricia	CDU/CSU	Handelsfachwirtin
Loop, Denise	Grüne	Sozialarbeiterin
Loos, Bernhard	CDU/CSU	Wirtschafts- und Politikwissenschaftler
Lötzsch, Dr. Gesine	Die Linke	Philologin
Lucassen, Rüdiger	AfD	Diplom-Kaufmann
Lucks, Max	Grüne	Angestellter
Luczak, Dr. Jan-Marco	CDU/CSU	Rechtsanwalt
Ludwig, Daniela	CDU/CSU	
Lugk, Bettina	SPD	Geowissenschaftlerin
Lührmann, Dr. Anna	Grüne	Politikwissenschaftlerin
Luksic, Oliver	FDP	Unternehmensberater
Lütke, Kristine	FDP	Pflegeunternehmerin
Lutze, Thomas	Die Linke	Maschinenbauer, Bürokaufmann
Maas, Heiko	SPD	Jurist
Machalet, Dr. Tanja	SPD	Diplom-Volkswirtin
Mackensen-Geis, Isabel	SPD	Politikwissenschaftlerin
Mack, Klaus	CDU/CSU	Diplom-Verwaltungswirt (FH)
Magwas, Yvonne	CDU/CSU	Diplom-Soziologin
Malottki, Erik von	SPD	Gewerkschafter
Mann, Holger	SPD	Mitglied des Landtages
Mansmann, Till	FDP	Diplom-Physiker
Mansoori, Kaweh	SPD	Rechtsanwalt
Martens, Zanda	SPD	Gewerkschaftssekretärin
Martin, Dorothee	SPD	Diplom-Politologin
Marvi, Parsa	SPD	Produktmanager Breitband
Mascheck, Franziska	SPD	Sozialarbeiterin
Mast, Katja	SPD	
Mattfeldt, Andreas	CDU/CSU	Industriekaufmann
Mayer (Altötting), Stephan	CDU/CSU	Rechtsanwalt
Mayer-Lay, Volker	CDU/CSU	Rechtsanwalt, Mediator
Mayer, Zoe	Grüne	Wirtschaftsingenieurin
Mehltretter, Andreas	SPD	Volkswirt
Mehmet Ali, Takis	SPD	Verwaltungsleiter
Meiser, Pascal	Die Linke	Diplom-Politikwissenschaftler
Meister, Dr. Michael	CDU/CSU	Diplom-Mathematiker
Menge, Susanne	Grüne	Studienrätin
Merten, Anikó	FDP	Kunstwissenschaftlerin
Merz, Friedrich	CDU/CSU	Rechtsanwalt
Mesarosch, Robin	SPD	parl. Referent
Metzler, Jan	CDU/CSU	Winzer, Diplom-Betriebswirt (FH)
Meyer, Christoph	FDP	Rechtsanwalt
Miazga, Corinna	AfD	Angestellte
Michaelsen, Swantje Henrike	Grüne	Geschäftsstellenleitung
Michel, Kathrin	SPD	Teamleiterin
Middelberg, Dr. Mathias	CDU/CSU	Rechtsanwalt
Miersch, Dr. Matthias	SPD	Rechtsanwalt
Mieves, Matthias David	SPD	Diplom-Kaufmann
Mihalic, Dr. Irene	Grüne	Polizeibeamtin
Mijatović, Boris	Grüne	Angestellter
Mittag, Susanne	SPD	Polizeibeamtin
Mohamed Ali, Amira	Die Linke	Rechtsanwältin
Möhring, Cornelia	Die Linke	Diplom-Sozialökonomin
Mohrs, Falko	SPD	Diplom-Kaufmann (FH)
Moll, Claudia	SPD	Altenpflegerin
Möller, Siemtje	SPD	Lehrerin 
Moncsek, Mike	AfD	Angestellter
Monstadt, Dietrich	CDU/CSU	Rechtsanwalt
Moosdorf, Matthias	AfD	Musiker
Mordhorst, Maximilian	FDP	Student
Mörseburg, Maximilian	CDU/CSU	Rechtsanwalt
Müller, Alexander	FDP	Diplom-Informatiker
Müller, Axel	CDU/CSU	Richter
Müller, Bettina	SPD	
Müller (Braunschweig), Carsten	CDU/CSU	Bankkaufmann / Rechtsanwalt
Müller (Chemnitz), Detlef	SPD	Lokomotivführer
Müller, Claudia	Grüne	Betriebswirtin
Müller (Erlangen), Stefan	CDU/CSU	
Müller, Florian	CDU/CSU	Referent für Strategie und Regulierung
Müller-Gemmeke, Beate	Grüne	Diplom-Sozialpädagogin (FH)
Müller, Michael	SPD	
Müller-Rosentritt, Frank	FDP	Diplom-Betriebswirt
Müller, Sascha	Grüne	Sportjournalist
Müller, Sepp	CDU/CSU	Diplomierter Bankbetriebswirt
Müntefering, Michelle	SPD	Journalistin
Münzenmaier, Sebastian	AfD	Versicherungs- und Finanzanlagenfachmann
Mützenich, Dr. Rolf	SPD	Politikwissenschaftler
Nacke, Dr. Stefan	CDU/CSU	
Nanni, Sara	Grüne	Friedens- und Konfliktforscherin
Nasr, Rasha	SPD	Büroleiterin
Nastic, Zaklin	Die Linke	
Naujok, Edgar	AfD	Unternehmer
Nestle, Dr. Ingrid	Grüne	Diplom-Wirtschaftsingenieurin
Nick, Dr. Ophelia	Grüne	Tierärztin
Nickholz, Brian	SPD	Geschäftsführer
Nicolaisen, Petra	CDU/CSU	Industriekauffrau
Nietan, Dietmar	SPD	
Nolte, Jan Ralf	AfD	Soldat
Notz, Dr. Konstantin von	Grüne	Rechtsanwalt
Nouripour, Omid	Grüne	selbständig
Nürnberger, Jörg	SPD	Rechtsanwalt
Oehl, Lennard	SPD	Volkswirt
Oellers, Wilfried	CDU/CSU	Rechtsanwalt
Oppelt, Moritz	CDU/CSU	Jurist
Ortleb, Josephine	SPD	Fachwirtin im Gastgewerbe
Oßner, Florian	CDU/CSU	Diplom-Volkswirt (Univ.)
Oster, Josef	CDU/CSU	Diplom-Verwaltungswirt (FH)
Otte, Henning	CDU/CSU	Jurist, Prokorist
Otte, Karoline	Grüne	Verwaltungsbetriebswirtin
Otten, Gerold	AfD	Berufssoldat a.D.
Pahlke, Julian	Grüne	Referent
Pantazis, Dr. Christos	SPD	Arzt
Papenbrock, Wiebke	SPD	Referentin
Papendieck, Mathias	SPD	Informatiker
Pau, Petra	Die Linke	Lehrerin
Paus, Lisa	Grüne	Diplom-Volkswirtin
Pawlik, Natalie	SPD	ltd. Angestellte
Peick, Jens	SPD	Dipl.-Verwaltungswirt (FH)
Pellmann, Sören	Die Linke	Grund- und Förderschullehrer
Perli, Victor	Die Linke	Politikwissenschaftler
Peterka, Tobias Matthias	AfD	Diplom-Jurist
Petry, Christian	SPD	Diplom-Verwaltungswirt
Philippi, Dr. Andreas	SPD	Facharzt Chirurgie
Piechotta, Dr. med. Paula	Grüne	Ärztin
Pilsinger, Stephan	CDU/CSU	Arzt
Plobner, Jan	SPD	Standesbeamter
Ploß, Dr. Christoph	CDU/CSU	Historiker
Plum, Dr. Martin	CDU/CSU	Richter
Pohl, Jürgen	AfD	Rechtsanwalt
Polat, Filiz	Grüne	Diplom-Volkswirtin
Poschmann, Sabine	SPD	Betriebswirtin (VWA)
Post (Minden), Achim	SPD	Diplom-Soziologe
Protschka, Stephan	AfD	
Rachel, Thomas	CDU/CSU	Politikwissenschaftler
Radomski, Kerstin	CDU/CSU	Lehrerin
Radwan, Alexander	CDU/CSU	Diplom-Ingenieur
Raffelhüschen, Claudia	FDP	Volkswirtin
Rainer, Alois	CDU/CSU	Metzgermeister
Ramsauer, Dr. Peter	CDU/CSU	Müllermeister / Diplom-Kaufmann
Redder, Dr. Volker	FDP	Unternehmer
Rehbaum, Henning	CDU/CSU	Diplom-Betriebswirt (FH)
Reichardt, Martin	AfD	Offizier
Reichel, Dr. Markus	CDU/CSU	Diplom-Mathematiker
Reichinnek, Heidi	Die Linke	pädagogische Mitarbeiterin Jugendhilfe
Reinalter, Prof. Dr. Anja	Grüne	Professorin für Soziale Arbeit
Reinhold, Hagen	FDP	Meister im Maurer- und Betonhandwerk
Renner, Martina	Die Linke	
Renner, Martin Erwin	AfD	Diplom-Betriebswirt
Reuther, Bernd	FDP	Diplom-Sozialwissenschaftler
Rhie, Ye-One	SPD	Kommunikationswissenschaftlerin
Rief, Josef	CDU/CSU	Landwirtschaftsmeister
Riexinger, Bernd	Die Linke	Bankkaufmann
Rimkus, Andreas	SPD	Elektromeister in der Energiewirtschaft
Rinck, Frank	AfD	Landwirt
Rix, Sönke	SPD	Erzieher
Rohde, Dennis	SPD	Rechtsanwalt
Rohwer, Lars	CDU/CSU	Bankkaufmann
Roloff, Sebastian	SPD	Rechtsanwalt
Rosemann, Dr. Martin	SPD	Diplom-Volkswirt
Rosenthal, Jessica	SPD	Gesamtschullehrerin
Rößner, Tabea	Grüne	Journalistin
Roth (Augsburg), Claudia	Grüne	
Roth (Heringen), Michael	SPD	Diplom-Politologe
Röttgen, Dr. Norbert	CDU/CSU	Rechtsanwalt
Rottmann, Dr. Manuela	Grüne	Juristin
Rouenhoff, Stefan	CDU/CSU	Diplom-Volkswirt
Röwekamp, Thomas	CDU/CSU	Rechtsanwalt,  Notar
Rüddel, Erwin	CDU/CSU	Diplom-Betriebswirt
Rudolph, Dr. Thorsten	SPD	Beamter
Rudolph, Tina	SPD	Ärztin
Rüffer, Corinna	Grüne	
Rupprecht, Albert	CDU/CSU	Diplom-Volkswirt
Rützel, Bernd	SPD	
Ryglewski, Sarah	SPD	Diplom-Politikwissenschaftlerin
Saathoff, Johann	SPD	Diplom-Verwaltungswirt (FH)
Saleh, Kassem Taher	Grüne	Diplom-Bauingenieur
Santos Firnhaber, Catarina dos	CDU/CSU	Rechtsanwältin
Sattelberger, Dr. h. c. Thomas	FDP	Diplom-Betriebswirt
Sauter, Christian	FDP	Diplom-Wirtschaftsingenieur (FH)
Schäfer (Bochum), Axel	SPD	
Schäfer, Dr. Sebastian	Grüne	Ministerialbeamter
Schäfer, Ingo	SPD	Feuerwehrmann
Schäfer, Jamila	Grüne	Studentin der Soziologie
Schäffler, Frank	FDP	Diplom-Betriebswirt (FH)
Schamber, Rebecca	SPD	Dipl.-Juristin
Schattner, Bernd	AfD	geschäftsführender Gesellschafter
Schätzl, Johannes	SPD	Informatiker
Schäuble, Dr. Wolfgang	CDU/CSU	
Schauws, Ulle	Grüne	Film- und Fernsehwissenschaftlerin
Scheer, Dr. Nina	SPD	Juristin / Politikwissenschaftlerin / Musikerin
Schenderlein, Dr. Christiane	CDU/CSU	Politikwissenschaftlerin
Scheuer, Andreas	CDU/CSU	
Schieder, Marianne	SPD	Juristin
Schiefner, Udo	SPD	
Schielke-Ziesing, Ulrike	AfD	Verwaltungswirtin
Schierenbeck, Peggy	SPD	Coach Führung und Verantwortung
Schimke, Jana	CDU/CSU	Diplom-Politikwissenschaftlerin
Schisanowski, Timo	SPD	Wirtschaftsjurist
Schmid, Christoph	SPD	
Schmid, Dr. Nils	SPD	Jurist
Schmidt, Eugen	AfD	Diplom-Informatiker
Schmidt, Jan Wenzel	AfD	Handelsfachwirt
Schmidt, Stefan	Grüne	Lehrer
Schmidt, Uwe	SPD	Hafenfacharbeiter
Schmidt (Wetzlar), Dagmar	SPD	Historikerin
Schneider, Daniel	SPD	Kulturveranstalter
Schneider (Erfurt), Carsten	SPD	Bankkaufmann
Schneider, Jörg	AfD	Diplom-Ingenieur Maschinenbau
Schnieder, Patrick	CDU/CSU	Bürgermeister a. D. 
Scholz, Olaf	SPD	Rechtsanwalt
Schönberger, Marlene	Grüne	Politikwissenschaftlerin (M. A.)
Schön, Nadine	CDU/CSU	
Schraps, Johannes	SPD	Politikwissenschaftler (M.A.)
Schreider, Christian	SPD	Jurist
Schreiner, Felix	CDU/CSU	
Schröder, Christina-Johanne	Grüne	Politikreferentin
Schröder, Ria	FDP	Juristin
Schrodi, Michael	SPD	Gymnasiallehrer
Schulz, Anja	FDP	Finanzberaterin
Schulz-Asche, Kordula	Grüne	Kommunikationswissenschaftlerin
Schulze, Svenja	SPD	
Schulz, Uwe	AfD	
Schwabe, Frank	SPD	
Schwartze, Stefan	SPD	Industriemechaniker
Schwarz, Andreas	SPD	Diplom-Betriebswirt (FH)
Schwarz, Armin	CDU/CSU	Lehrer
Schwarzelühr-Sutter, Rita	SPD	Diplom-Betriebswirtin
Seestern-Pauly, Matthias	FDP	Gymnasiallehrer
Seidler, Stefan	fraktionslos	Deutsch-Dänischer Koordinator
Seif, Detlef	CDU/CSU	Rechtsanwalt
Seiter, Prof. Dr. Stephan	FDP	Professor für Volkswirtschaftslehre
Seitzl, Dr. Lina	SPD	Politikwissenschaftlerin
Seitz, Thomas	AfD	Volljurist
Sekmen, Melis	Grüne	Studentin der Volkswirtschaftslehre
Semet, Rainer	FDP	Wirtschaftsingenieur
Sichert, Martin	AfD	Diplom-Kaufmann
Silberhorn, Thomas	CDU/CSU	Rechtsanwalt
Simon, Björn	CDU/CSU	Politikwissenschaftler
Sitte, Dr. Petra	Die Linke	Diplom-Ökonomin
Skudelny, Judith	FDP	Rechtsanwältin
Slawik, Nyke	Grüne	Wissenschaftliche Mitarbeiterin
Sorge, Tino	CDU/CSU	Rechtsanwalt
Spahn, Jens	CDU/CSU	Bankkaufmann; Politologe
Spallek, Dr. Anne Monika	Grüne	Unternehmensberaterin/ Leiterin eines Pferdebetriebes
Spaniel, Dr. Dirk	AfD	Diplom-Ingenieur
Spellerberg, Merle	Grüne	Studentin
Springer, René	AfD	Politikwissenschaftler
Stadler, Svenja	SPD	Senior-PR-Beraterin
Staffler, Katrin	CDU/CSU	Biochemikerin (M. Sc.)
Stahr, Nina	Grüne	Lehrerin
Stamm-Fibich, Martina	SPD	Marketing- und Kommunikationsmanagerin
Stark-Watzinger, Bettina	FDP	Diplom-Volkswirtin
Steffen, Dr. Till	Grüne	Rechtsanwalt
Stefinger, Dr. Wolfgang	CDU/CSU	Betriebswirt
Stegemann, Albert	CDU/CSU	Landwirtschaftsmeister
Stegner, Dr. Ralf	SPD	Politikwissenschaftler
Steiniger, Johannes	CDU/CSU	Gymnasiallehrer
Stein, Mathias	SPD	Bautechniker
Steinmüller, Hanna	Grüne	Wissenschaftliche Mitarbeiterin
Stetten, Christian Freiherr von	CDU/CSU	Diplom-Betriebswirt (FH)
Sthamer, Nadja	SPD	Wiasenschaftliche Mitarbeiterin
Stier, Dieter	CDU/CSU	Diplom-Agraringenieur
Stöber, Klaus	AfD	Steuerberater
Stöcker, Diana	CDU/CSU	Bürgermeisterin
Stockmeier, Konrad	FDP	Marktforscher
Storch, Beatrix von	AfD	Rechtsanwältin
Storjohann, Gero	CDU/CSU	Diplom-Betriebswirt (FH)
Stracke, Stephan	CDU/CSU	
Strack-Zimmermann, Dr. Marie-Agnes	FDP	Publizistin (M.A.)
Strasser, Benjamin	FDP	Rechtsanwalt
Straubinger, Max	CDU/CSU	Landwirtschaftsmeister
Strengmann-Kuhn, Dr. Wolfgang	Grüne	Volkswirt
Stumpp, Christina	CDU/CSU	Verwaltungswirtin und Steuerrechtlerin LL.B.
Stüwe, Ruppert	SPD	Diplom-Volkswirt
Tatti, Jessica	Die Linke	Sozialarbeiterin (B.A.)
Tausend, Claudia	SPD	Diplom-Geografin
Tebroke, Dr. Hermann-Josef	CDU/CSU	Diplom-Kaufmann
Tesfaiesus, Awet	Grüne	Rechtsanwältin
Teuteberg, Linda	FDP	Rechtsanwältin
Teutrine, Jens	FDP	Student
Theurer, Michael	FDP	Diplom-Volkswirt
Thews, Michael	SPD	Diplom-Chemieingenieur
Thies, Hans-Jürgen	CDU/CSU	Rechtsanwalt
Thomae, Stephan	FDP	Rechtsanwalt
Throm, Alexander	CDU/CSU	Rechtsanwalt
Tillmann, Antje	CDU/CSU	Diplom-Finanzwirtin
Timmermann-Fechter, Astrid	CDU/CSU	Referentin
Tippelt, Nico	FDP	Diplom-Musikpädagoge
Todtenhausen, Manfred	FDP	Elektromeister
Toncar, Dr. Florian	FDP	Rechtsanwalt
Töns, Markus	SPD	Politologe
Träger, Carsten	SPD	Diplom-Kommunikationswirt (BAW)
Trittin, Jürgen	Grüne	Diplom-Sozialwirt
Troff-Schaffarzyk, Anja	SPD	Diplom-Pädagogin
Türk-Nachbaur, Derya	SPD	pädagogische Fachkraft
Uhlig, Katrin	Grüne	wissenschaftliche Referentin
Uhl, Markus	CDU/CSU	Diplom-Kaufmann
Ullmann, Prof. Dr. Andrew	FDP	Facharzt für Innere Medizin, Universitätsprofessor 
Ullrich, Dr. Volker	CDU/CSU	
Ullrich, Frank	SPD	Diplom-Sportlehrer (Trainer)
Ullrich, Gerald	FDP	Ingenieur
Ulrich, Alexander	Die Linke	
Verlinden, Dr. Julia	Grüne	Diplom-Umweltwissenschaftlerin
Vieregge, Kerstin	CDU/CSU	Betriebswirtin
Vogel (Olpe), Johannes	FDP	Politikwissenschaftler
Vogler, Kathrin	Die Linke	Geschäftsführerin
Vogt, Dr. Oliver	CDU/CSU	Diplom-Physiker
Völlers, Marja-Liisa	SPD	Gymnasiallehrerin
Vöpel, Dirk	SPD	Selbständiger Kaufmann
Vries, Christoph de	CDU/CSU	Diplom-Soziologe
Wadephul, Dr. Johann David	CDU/CSU	Rechtsanwalt
Wagener, Niklas	Grüne	Student der Forstwirtschaft
Wagener, Robin	Grüne	Richter
Wagenknecht, Dr. Sahra	Die Linke	
Wagner, Dr. Carolin	SPD	Referatsleiterin
Wagner, Johannes	Grüne	Assistenzarzt
Wallstein, Maja	SPD	Wissenschaftsmanagerin
Walter, Hannes	SPD	Betriebswirt
Walter-Rosenheimer, Beate	Grüne	Diplom-Psychologin
Wanderwitz, Marco	CDU/CSU	Rechtsanwalt
Warken, Nina	CDU/CSU	Rechtsanwältin
Weeser, Sandra	FDP	Betriebswirtin VWA
Wegge, Carmen	SPD	Juristin
Wegling, Melanie	SPD	Managerin im strategischen Vertrieb
Weidel, Dr. Alice	AfD	Diplom-Kauffrau, Diplom-Volkswirtin
Weingarten, Dr. Joe	SPD	Diplom-Verwaltungswissenschaftler
Weisgerber, Dr. Anja	CDU/CSU	Rechtsanwältin
Weishaupt, Saskia	Grüne	Politikwissenschaftlerin
Weiss, Maria-Lena	CDU/CSU	Rechtsanwältin
Weiss (Wesel I), Sabine	CDU/CSU	Rechtsanwältin
Wenzel, Stefan	Grüne	Agraringenieur
Werner, Lena	SPD	Projektmanagerin
Westig, Nicole	FDP	Fundraiserin
Westphal, Bernd	SPD	Chemielaborant
Weyel, Prof. Dr. Harald	AfD	Professor der Betriebswirtschaft
Whittaker, Kai	CDU/CSU	Wirtschaftswissenschaftler (M. Sc.)
Widmann-Mauz, Annette	CDU/CSU	
Wiehle, Wolfgang	AfD	Diplom-Informatiker
Wiener, Dr. Klaus	CDU/CSU	Volkswirt
Wiese, Dirk	SPD	Jurist
Willsch, Klaus-Peter	CDU/CSU	Diplom-Volkswirt
Winkelmeier-Becker, Elisabeth	CDU/CSU	Richterin
Winkler, Tobias	CDU/CSU	Leiter des Verbindungsbüros des Europäischen Parlaments
Winklmann, Tina	Grüne	Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik
Wirth, Dr. Christian	AfD	Rechtsanwalt
Wissing, Dr. Volker	FDP	Rechtsanwalt
Wissler, Janine	Die Linke	Diplom-Politikwissenschaftlerin
Wittmann, Mechthilde	CDU/CSU	Juristin
Witt, Uwe	AfD	Diplom-Personalbetriebswirt
Wollmann, Dr. Herbert	SPD	Arzt
Wulf, Mareike Lotte	CDU/CSU	Geschäftsführerin
Wundrak, Joachim	AfD	Beamter i. R.
Yüksel, Gülistan	SPD	Apothekenhelferin (jetzt PKA)
Zeulner, Emmi	CDU/CSU	Examinierte Gesundheits- und Krankenpflegerin 
Ziegler, Kay-Uwe	AfD	Kaufmann,  Geschäftsführer
Ziemiak, Paul	CDU/CSU	
Zierke, Stefan	SPD	Werkzeugmacher/ Reiseverkehrskaufmann/ Tourismusfachwirt
Zimmermann, Dr. Jens	SPD	Diplom-Kaufmann
Zippelius, Nicolas	CDU/CSU	Politikwissenschaftler (B. A.)
Zorn, Armand	SPD	Projektleiter
Zschau, Katrin	SPD	Landesgeschäftsführerin
